# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Mon Feb 17 16:42:22 UTC 2025
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0105 -0.15350 7.00000 0.0900000036 1.0816895926    0.090 -2.029  3.4132  4.026    0 9.841 11.522 13.837 10.122
0.0105 -0.15350 7.00000 0.0958645642 1.1356026779    0.096 -1.993  3.4171  4.032    0 9.751 11.412 13.701 10.017
0.0105 -0.15350 7.00000 0.1000000015 1.1711064122    0.100 -1.967  3.4197  4.036    0 9.687 11.324 13.582 9.936
0.0105 -0.15350 7.00000 0.1200000048 1.3193154741    0.120 -1.858  3.4313  4.053    0 9.416 10.942 13.074 9.583
0.0105 -0.15350 7.00000 0.1349382699 1.4104908556    0.135 -1.784  3.4402  4.065    0 9.229 10.657 12.786 9.313
0.0105 -0.15350 7.00000 0.1504407525 1.4921849834    0.150 -1.715  3.4480  4.074    0 9.058 10.407 12.489 9.080
0.0105 -0.15350 7.00000 0.1542102396 1.5104059223    0.154 -1.700  3.4498  4.077    0 9.021 10.354 12.415 9.032
0.0105 -0.15350 7.00000 0.1565606743 1.5214769214    0.157 -1.691  3.4509  4.079    0 8.996 10.320 12.368 9.001
0.0105 -0.15350 7.00000 0.1698075384 1.5800702827    0.170 -1.639  3.4564  4.084    0 8.867 10.140 12.125 8.836
0.0105 -0.15350 7.00000 0.1842916459 1.6376925640    0.184 -1.587  3.4620  4.090    0 8.736 9.963 11.874 8.675
0.0105 -0.15350 7.00000 0.2175121009 1.7501194565    0.217 -1.482  3.4735  4.103    0 8.475 9.612 11.368 8.358
0.0105 -0.15350 7.00000 0.2368293256 1.8057019428    0.237 -1.428  3.4795  4.111    0 8.340 9.429 11.112 8.195
0.0105 -0.15350 7.00000 0.2520240545 1.8454365254    0.252 -1.390  3.4839  4.117    0 8.244 9.299 10.929 8.079
0.0105 -0.15350 7.00000 0.2772487402 1.9049661497    0.277 -1.329  3.4905  4.124    0 8.093 9.099 10.657 7.899
