# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Mon Feb 17 16:42:17 UTC 2025
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0005 -1.49213 7.00000 0.0900000036 1.0816895926    0.090 -1.857  3.5346  4.340    0 9.412 10.006 11.096 8.992
0.0005 -1.49213 7.00000 0.0945376828 1.1237867553    0.095 -1.828  3.5372  4.343    0 9.341 9.922 10.996 8.915
0.0005 -1.49213 7.00000 0.1000000015 1.1711064122    0.100 -1.794  3.5401  4.344    0 9.254 9.821 10.877 8.821
0.0005 -1.49213 7.00000 0.1034832299 1.1995613009    0.103 -1.774  3.5417  4.346    0 9.206 9.763 10.809 8.768
0.0005 -1.49213 7.00000 0.1167121381 1.2972523001    0.117 -1.702  3.5474  4.349    0 9.026 9.556 10.570 8.576
0.0005 -1.49213 7.00000 0.1199999973 1.3193154249    0.120 -1.686  3.5487  4.350    0 8.984 9.508 10.515 8.531
0.0005 -1.49213 7.00000 0.1293708980 1.3781166512    0.129 -1.642  3.5521  4.352    0 8.874 9.382 10.370 8.413
0.0005 -1.49213 7.00000 0.1400000006 1.4384526719    0.140 -1.594  3.5557  4.352    0 8.754 9.245 10.213 8.285
0.0005 -1.49213 7.00000 0.1599999964 1.5372931554    0.160 -1.512  3.5622  4.355    0 8.550 9.013 9.950 8.068
0.0005 -1.49213 7.00000 0.1847427338 1.6393918771    0.185 -1.426  3.5690  4.358    0 8.335 8.768 9.673 7.840
0.0005 -1.49213 7.00000 0.2119354606 1.7328680434    0.212 -1.343  3.5757  4.362    0 8.129 8.548 9.445 7.623
0.0005 -1.49213 7.00000 0.2405972034 1.8158581254    0.241 -1.267  3.5819  4.366    0 7.937 8.346 9.240 7.422
0.0005 -1.49213 7.00000 0.2655633390 1.8783038064    0.266 -1.208  3.5872  4.371    0 7.789 8.168 9.028 7.262
0.0005 -1.49213 7.00000 0.2782535851 1.9071905186    0.278 -1.180  3.5898  4.373    0 7.719 8.075 8.908 7.184
0.0005 -1.49213 7.00000 0.2884795666 1.9292493243    0.288 -1.157  3.5919  4.375    0 7.662 8.000 8.811 7.121
0.0005 -1.49213 7.00000 0.3000000417 1.9529140366    0.300 -1.134  3.5943  4.378    0 7.604 7.921 8.708 7.056
0.0005 -1.49213 7.00000 0.3357874751 2.0194889167    0.336 -1.064  3.6011  4.385    0 7.431 7.708 8.446 6.871
0.0005 -1.49213 7.00000 0.3499999940 2.0434174644    0.350 -1.039  3.6037  4.387    0 7.367 7.637 8.366 6.806
0.0005 -1.49213 7.00000 0.3743737042 2.0816483228    0.374 -0.997  3.6085  4.395    0 7.263 7.521 8.232 6.701
0.0005 -1.49213 7.00000 0.4000000060 2.1185024399    0.400 -0.955  3.6133  4.400    0 7.158 7.403 8.096 6.593
0.0005 -1.49213 7.00000 0.4429165125 2.1738202332    0.443 -0.887  3.6224  4.413    0 6.988 7.209 7.870 6.422
0.0005 -1.49213 7.00000 0.4500000179 2.1822809362    0.450 -0.877  3.6238  4.415    0 6.963 7.180 7.836 6.396
0.0005 -1.49213 7.00000 0.4631763995 2.1975678161    0.463 -0.854  3.6273  4.419    0 6.906 7.113 7.757 6.338
0.0005 -1.49213 7.00000 0.5187662840 2.2559976628    0.519 -0.756  3.6421  4.430    0 6.661 6.821 7.414 6.083
0.0005 -1.49213 7.00000 0.5456477404 2.2800217920    0.545 -0.716  3.6484  4.436    0 6.559 6.700 7.272 5.978
